president,appointments,elevations,recess
George Washington,9,,1
John Adams,1,,2
Thomas Jefferson,2,,1
James Madison,2,,
James Monroe,0,,1
John Quincy Adams,1,,
Andrew Jackson,6,,
Martin Van Buren,1,,1
William H. Harrison,0,,
John Tyler,1,,
James K. Polk,1,,1
Zachary Taylor,0,,
Millard Fillmore,0,,1
Franklin Pierce,1,,
James Buchanan,1,,
Abraham Lincoln,4,,1
Andrew Johnson,0,,
Ulysses S. Grant,4,,
Rutherford B. Hayes,2,,
James A. Garfield,1,,
Chester A. Arthur,2,,
Grover Cleveland ,4,,
Benjamin Harrison,4,,
William McKinley,1,,
Theodore Roosevelt,2,,1
William Howard Taft,5,1,
Woodrow Wilson,3,,
Warren G. Harding,4,,
Calvin Coolidge,1,,
Herbert Hoover,3,,
Franklin D. Roosevelt,8,1,
Harry S. Truman,4,,
Dwight D. Eisenhower,2,,3
John F. Kennedy,2,,
Lyndon B. Johnson,2,,
Richard Nixon,4,,
Gerald Ford,1,,
Jimmy Carter,0,,
Ronald Reagan,3,1,
George H. W. Bush,2,,
Bill Clinton,2,,
George W. Bush,2,,
Barack Obama,2,,
Donald Trump,3,,
Joe Biden,1,,
