term years,presidents,appointments,elevations,recess,recess appointment note
1789-1793,GEORGE WASHINGTON (first term),7,,1,One- Thomas Johnson was appointed in August 1791 and ultimatley confirmed in Nov 1791
1793-1797,GEORGE WASHINGTON (second term),3,,,
1797-1801,JOHN ADAMS,3,,2,Two- Bushrod Washington was appointed in Sep 1798 and ultimatley confirmed in Dec 1798; and Alfred Moore appointed Oct 1799 and confirmed Dec 1799
1801-1805,THOMAS JEFFERSON (first term),1,,,
1805-1809,THOMAS JEFFERSON (second term),2,,1,One- Henry B. Livingston was appointed in Nov 1806 and ultimatley confirmed in Dec 1806
1809-1813,JAMES MADISON (first term),2,,,
1813-1817,JAMES MADISON (second term),0,,,
1817-1821,JAMES MONROE (first term),0,,,
1821-1825,JAMES MONROE (second term),1,,1,One- Smith Thompson was appointed in Sept 1823 and ultimatley confirmed in Dec 1823
1825-1829,JOHN QUINCY ADAMS,1,,,
1829-1833,ANDREW JACKSON (first term),2,,,
1833-1837,ANDREW JACKSON (second term),4,,,
1837-1841,MARTIN VAN BUREN,2,,1,One- John McKinley was appointed in April 1837 and ultimatley confirmed in Sept 1837
1841-1845,WILLIAM HENRY HARRISON/JOHN TYLER,1,,,
1845-1849,JAMES K. POLK,2,,1,One- Levi Woodbury was appointed in Sept 1845 and ultimatley confirmed in Jan 1846
1849-1853,ZACHARY TAYLOR/MILLARD FILLMORE,1,,1,One- Benjamin Curtis was appointed in Sept 1851 and ultimatley confirmed in Dec 1851
1853-1857,FRANKLIN PIERCE,1,,,
1857-1861,JAMES BUCHANAN,1,,,
1861-1865,ABRAHAM LINCOLN,5,,1,One- David Davis was appointed in Oct 1862 and ultimatley confirmed in Dec 1862.
1865-1869,ANDREW JOHNSON,0,,,
1869-1873,ULYSSES S. GRANT (first term),3,,,
1873-1877,ULYSSES S. GRANT (second term),1,,,
1877-1881,RUTHERFORD B. HAYES,2,,,
1881-1885,JAMES A. GARFIELD/CHESTER A. ARTHUR,3,,,
1885-1889,GROVER CLEVELAND,2,,,
1889-1893,BENJAMIN HARRISON,4,,,
1893-1897,GROVER CLEVELAND,2,,,
1897-1901,WILLIAM MCKINLEY,1,,,
1901-1905,WILLIAM MCKINLEY/THEODORE ROOSEVELT,2,,1,One- Oliver Wendell Holmes was appointed in Aug 1902 and ultimatley confirmed in Dec 1902 [appointed by Roosevelt]
1905-1909,THEODORE ROOSEVELT (first FULL term),1,,,
1909-1913,WILLIAM HOWARD TAFT,5,1,,
1913-1917,WOODROW WILSON (first term),3,,,
1917-1921,WOODROW WILSON (second term),0,,,
1921-1925,WARREN G. HARDING/CALVIN COOLIDGE ,5,,,
1925-1929,CALVIN COOLIDGE,0,,,
1929-1933,HERBERT HOOVER,2,1,,
1933-1937,FRANKLIN D. ROOSEVELT (first term),0,,,
1937-1941,FRANKLIN D. ROOSEVELT (second term),5,,,
1941-1945,FRANKLIN D. ROOSEVELT (third term),3,,,
1945-1949,FDR/Truman,2,,,
1949-1953,HARRY S. TRUMAN,2,,,
1953-1957,DWIGHT D. EISENHOWER (first term),3,,2,Two- Earl Warren was appointed in Oct 1953 and ultimatley confirmed in March 1954; and William Brennan was appointed in Oct 1956 and ultimatley confirmed in March 1957
1957-1961,DWIGHT D. EISENHOWER (second term),2,,1,One- Potter Stewart was appointed in Oct 1958 and ultimatley confirmed in May 1959
1961-1965,JOHN F. KENNEDY/LYNDON B. JOHNSON,2,,,
1965-1969,LYNDON B. JOHNSON,2,,,
1969-1973,RICHARD M. NIXON,4,,,
1973-1977,RICHARD M. NIXON/GERALD R. FORD ,1,,,
1977-1981,JIMMY CARTER,0,,,
1981-1985,RONALD REAGAN (first term),1,,,
1985-1989,RONALD REAGAN (second term),2,1,,
1989-1993,GEORGE H.W. BUSH,2,,,
1993-1997,BILL CLINTON (first term),2,,,
1997-2001,BILL CLINTON (second term),0,,,
2001-2005,GEORGE W. BUSH (first term),0,,,
2005-2009,GEORGE W. BUSH (second term),2,,,
2009-2013,BARACK OBAMA (first term),2,,,
2013-2017,BARACK OBAMA (second term),0,,,
2017-2021,DONALD J. TRUMP,3,,,
2021-2025,JOE BIDEN,1,,,
