nid,jid,Last Name,First Name,Middle Name,Suffix,Birth Month,Birth Day,Birth Year,Birth City,Birth State,Death Month,Death Day,Death Year,Death City,Death State,Gender,Race or Ethnicity,Court Type (1),Court Name (1),Appointment Title (1),Appointing President (1),Party of Appointing President (1),Reappointing President (1),Party of Reappointing President (1),ABA Rating (1),Seat ID (1),Statute Authorizing New Seat (1),Recess Appointment Date (1),Nomination Date (1),Committee Referral Date (1),Hearing Date (1),Judiciary Committee Action (1),Committee Action Date (1),Senate Vote Type (1),Ayes/Nays (1),Confirmation Date (1),Commission Date (1),"Service as Chief Judge, Begin (1)","Service as Chief Judge, End (1)","2nd Service as Chief Judge, Begin (1)","2nd Service as Chief Judge, End (1)",Senior Status Date (1),Termination (1),Termination Date (1),Court Type (2),Court Name (2),Appointment Title (2),Appointing President (2),Party of Appointing President (2),Reappointing President (2),Party of Reappointing President (2),ABA Rating (2),Seat ID (2),Statute Authorizing New Seat (2),Recess Appointment Date (2),Nomination Date (2),Committee Referral Date (2),Hearing Date (2),Judiciary Committee Action (2),Committee Action Date (2),Senate Vote Type (2),Ayes/Nays (2),Confirmation Date (2),Commission Date (2),"Service as Chief Judge, Begin (2)","Service as Chief Judge, End (2)","2nd Service as Chief Judge, Begin (2)","2nd Service as Chief Judge, End (2)",Senior Status Date (2),Termination (2),Termination Date (2),Court Type (3),Court Name (3),Appointment Title (3),Appointing President (3),Party of Appointing President (3),Reappointing President (3),Party of Reappointing President (3),ABA Rating (3),Seat ID (3),Statute Authorizing New Seat (3),Recess Appointment Date (3),Nomination Date (3),Committee Referral Date (3),Hearing Date (3),Judiciary Committee Action (3),Committee Action Date (3),Senate Vote Type (3),Ayes/Nays (3),Confirmation Date (3),Commission Date (3),"Service as Chief Judge, Begin (3)","Service as Chief Judge, End (3)","2nd Service as Chief Judge, Begin (3)","2nd Service as Chief Judge, End (3)",Senior Status Date (3),Termination (3),Termination Date (3),Court Type (4),Court Name (4),Appointment Title (4),Appointing President (4),Party of Appointing President (4),Reappointing President (4),Party of Reappointing President (4),ABA Rating (4),Seat ID (4),Statute Authorizing New Seat (4),Recess Appointment Date (4),Nomination Date (4),Committee Referral Date (4),Hearing Date (4),Judiciary Committee Action (4),Committee Action Date (4),Senate Vote Type (4),Ayes/Nays (4),Confirmation Date (4),Commission Date (4),"Service as Chief Judge, Begin (4)","Service as Chief Judge, End (4)","2nd Service as Chief Judge, Begin (4)","2nd Service as Chief Judge, End (4)",Senior Status Date (4),Termination (4),Termination Date (4),Court Type (5),Court Name (5),Appointment Title (5),Appointing President (5),Party of Appointing President (5),Reappointing President (5),Party of Reappointing President (5),ABA Rating (5),Seat ID (5),Statute Authorizing New Seat (5),Recess Appointment Date (5),Nomination Date (5),Committee Referral Date (5),Hearing Date (5),Judiciary Committee Action (5),Committee Action Date (5),Senate Vote Type (5),Ayes/Nays (5),Confirmation Date (5),Commission Date (5),"Service as Chief Judge, Begin (5)","Service as Chief Judge, End (5)","2nd Service as Chief Judge, Begin (5)","2nd Service as Chief Judge, End (5)",Senior Status Date (5),Termination (5),Termination Date (5),Court Type (6),Court Name (6),Appointment Title (6),Appointing President (6),Party of Appointing President (6),Reappointing President (6),Party of Reappointing President (6),ABA Rating (6),Seat ID (6),Statute Authorizing New Seat (6),Recess Appointment Date (6),Nomination Date (6),Committee Referral Date (6),Hearing Date (6),Judiciary Committee Action (6),Committee Action Date (6),Senate Vote Type (6),Ayes/Nays (6),Confirmation Date (6),Commission Date (6),"Service as Chief Judge, Begin (6)","Service as Chief Judge, End (6)","2nd Service as Chief Judge, Begin (6)","2nd Service as Chief Judge, End (6)",Senior Status Date (6),Termination (6),Termination Date (6),Other Federal Judicial Service (1),Other Federal Judicial Service (2),Other Federal Judicial Service (3),Other Federal Judicial Service (4),School (1),Degree (1),Degree Year (1),School (2),Degree (2),Degree Year (2),School (3),Degree (3),Degree Year (3),School (4),Degree (4),Degree Year (4),School (5),Degree (5),Degree Year (5),Professional Career,Other Nominations/Recess Appointments
13761857,13761857,Abelson,Adam,Ben,,,,1982,Cleveland,OH,,,,,,Male,White,U.S. District Court,U.S. District Court for the District of Maryland,Judge,Joseph R. Biden,Democratic,,,Well Qualified,MDD1103,,,5/14/24,5/14/24,6/5/24,Reported (favorably),7/11/24,Roll Call, 53/43,9/10/24,9/12/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Magistrate Judge, U.S. District Court for the District of Maryland, 2023-2024",,,,Princeton University,B.A.,2005,New York University School of Law,J.D.,2010,,,,,,,,,,"Law clerk, Hon. Catherine C. Blake, U.S. District Court for the District of Maryland, 2010-2011; Law clerk, Hon. Andre M. Davis, U.S. Court of Appeals for the Fourth Circuit, 2011-2012; Private practice, Washington, D.C., 2012-2014; Private practice, Baltimore, Maryland, 2014-2023",
1393931,3419,Abrams,Ronnie, , ,,,1968,New York,NY,,,, , ,Female,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,Barack Obama,Democratic,,,Qualified,NYSD2704, ,,7/28/11,7/28/11,10/4/11,Reported (favorably),11/3/11,Roll Call, 96/2,3/22/12,3/23/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,B.A.,1990,Yale Law School,J.D.,1993,,,,,,,,,,"Law clerk, Hon. Thomas P. Griesa, U.S. District Court, Southern District of New York, 1993-1994; Private practice, New York City, 1994-1998, 2008-2012; Assistant U.S. attorney, Southern District of New York, 1998-2008; acting chief, General Crimes Unit, 2004-2005; chief, General Crimes Unit, 2005-2007; deputy chief, Criminal Division, 2007-2008; Lecturer-in-law, Columbia University School of Law, 2008-",
1376976,1,Abruzzo,Matthew,T., ,4,30,1889,Brooklyn,NY,5,28,1971,Potomac,MD,Male,White,U.S. District Court,U.S. District Court for the Eastern District of New York,Judge,Franklin D. Roosevelt,Democratic,,,,NYED0601,49 Stat. 659,,2/3/36,2/3/36,,Reported (favorably),2/11/36,Voice,  ,2/12/36,2/15/36,,,,,2/15/66,Death,5/28/71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn Law School,LL.B.,1910,,,,,,,,,,,,,"Private practice, Brooklyn, New York, 1910-1936",
13651551,13651551,Abudu,Nancy,Gbana,,,,1974,Alexandria,VA,,,,,,Female,African American,U.S. Court of Appeals,U.S. Court of Appeals for the Eleventh Circuit,Judge,Joseph R. Biden,Democratic,,,Well Qualified,CA110903,,,1/3/23,1/3/23,,Reported (favorably),2/9/23,Roll Call, 49/47,5/18/23,5/26/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Columbia University,B.A.,1996,Tulane University Law School,J.D.,1999,,,,,,,,,,"Private practice, New York City, 1999-2001; Extern, Legal Aid Society of New York, New York City, 2001; Staff attorney, U.S. Court of Appeals for the Eleventh Circuit, 2002-2004; Private practice, Atlanta, Georgia, 2005; Voting Rights Project, American Civil Liberties Union, Atlanta, Georgia, 2005-2013; staff attorney, 2005-2009; senior staff counsel, 2009-2013; Legal director, American Civil Liberties Union of Florida, Miami, Florida, 2013-2018; Deputy legal director, Southern Poverty Law Center, Decatur, Georgia, 2019-2023; director of strategic litigation, 2021-2023","Nominated to U.S. Court of Appeals for the Eleventh Circuit, January 10, 2022; no Senate vote"
1376981,2,Acheson,Marcus,Wilson, ,6,7,1828,Washington,PA,6,21,1906,Pittsburgh,PA,Male,White,U.S. District Court,U.S. District Court for the Western District of Pennsylvania,Judge,Rutherford B. Hayes,Republican,,,,PAWD0106, ,,1880-01-06,1880-01-07,,Reported (favorably),1880-01-14,Voice,  ,1880-01-14,1880-01-14,,,,,,Appointment to Another Judicial Position,1891-02-09,U.S. Circuit Court (1869-1911),U.S. Circuit Courts for the Third Circuit,Judge,Benjamin Harrison,Republican,,,,1869CC30102, ,,1891-01-23,1891-01-24,,Reported (favorably),1891-02-03,Voice,  ,1891-02-03,1891-02-03,,,,,,Death,6/21/06,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,None (assignment),None (assignment),,,,CA30101,26 Stat. 826,,,,,,,,  ,,1891-06-16,,,,,,Death,6/21/06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Washington College (now Washington and Jefferson College),B.A.,1845,Read law,,1852,,,,,,,,,,"Private practice, Pittsburgh, Pennsylvania, 1852-1880",
1376986,3,Acker,William,Marsh,Jr.,10,25,1927,Birmingham,AL,6,21,2018, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Alabama,Judge,Ronald Reagan,Republican,,,Qualified,ALND0404, ,,7/22/82,7/22/82,8/11/82,Reported (favorably),8/17/82,Voice,  ,8/18/82,8/18/82,,,,,5/31/96,Death,6/21/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birmingham-Southern College,B.A.,1949,Yale Law School,LL.B.,1952,,,,,,,,,,"U.S. Army private first class, 1946-1947; Private practice, Birmingham, Alabama, 1952-1982",
1376991,4,Ackerman,Harold,Arnold, ,2,15,1928,Newark,NJ,12,2,2009,West Orange,NJ,Male,White,U.S. District Court,U.S. District Court for the District of New Jersey,Judge,Jimmy Carter,Democratic,,,Well Qualified,NJD0505, ,,9/28/79,9/28/79,10/25/79,Reported (favorably),10/30/79,Voice,  ,10/31/79,11/2/79,,,,,2/15/94,Death,12/2/09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers School of Law -- Newark,LL.B.,1951,,,,,,,,,,,,,"Private practice, New Jersey, 1951-1954; Judge, Compensation Court of the State of New Jersey, 1955-1965; Judge, Union County [New Jersey] District Court, 1965-1970; Judge, Union County [New Jersey] Court, 1970-1973; Judge, Superior Court of New Jersey, 1973-1979; Law Division, 1973-1975; Chancery Division, General Equity, 1975-1979",
1376996,5,Ackerman,James,Waldo, ,1,1,1926,Jacksonville,FL,11,23,1984,Springfield,IL,Male,White,U.S. District Court,U.S. District Court for the Southern District of Illinois,Judge,Gerald Ford,Republican,,,Well Qualified,ILSD0204, ,,6/18/76,6/18/76,6/30/76,Reported (favorably),6/30/76,Voice,  ,7/2/76,7/2/76,,,,,,Reassignment,3/31/79,U.S. District Court,U.S. District Court for the Central District of Illinois,Judge,None (reassignment),None (reassignment),,,,ILCD0201,93 Stat. 6,,,,,,,,  ,,3/31/79,1982,1984,,,,Death,11/23/84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marquette University,B.S.,1947,Marquette University Law School,J.D.,1949,,,,,,,,,,"Private practice, Sangamon County, Illinois, 1949-1952; U.S. Navy, 1944-1946, 1952-1954; Assistant state's attorney, Sangamon County, Illinois, 1954-1956; State's attorney, Sangamon County, Illinois, 1956-1960; Private practice, Sangamon County, Illinois, 1960-1971; Corporation counsel, Springfield, Illinois, 1961-1962; Assistant treasurer, State of Illinois, 1963-1964; Deputy attorney general, State of Illinois, 1968-1971; Judge, Illinois Circuit Court, Seventh Judicial Circuit, 1971-1976",
1377001,6,Acosta,Raymond,L., ,5,31,1925,New York,NY,12,23,2014,Chapin,SC,Male,Hispanic,U.S. District Court,U.S. District Court for the District of Puerto Rico,Judge,Ronald Reagan,Republican,,,Qualified,PRD0302, ,,9/9/82,9/9/82,9/22/82,Reported (favorably),9/28/82,Voice,  ,9/29/82,9/30/82,,,,,6/1/94,Death,12/23/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rutgers School of Law -- Newark,J.D.,1951,,,,,,,,,,,,,"Private practice, Hackensack, New Jersey, 1953-1954; Special agent, Federal Bureau of Investigation, San Diego, California, Washington, D.C., and Miami, Florida, 1954-1958; Assistant U.S. attorney, District of Puerto Rico, 1958-1961; Private practice, San Juan, Puerto Rico, 1962-1980; U.S. attorney for the District of Puerto Rico, 1980-1982",
1377006,7,Adair,J[ackson],Leroy, ,2,23,1887,Clayton,IL,1,19,1956, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of Illinois,Judge,Franklin D. Roosevelt,Democratic,,,,ILSD0106, ,,3/24/37,3/24/37,,Reported (favorably),4/19/37,Voice,  ,4/20/37,4/27/37,,,,,,Death,1/19/56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Michigan Law School,LL.B.,1911,,,,,,,,,,,,,"Private practice, Muskogee, Oklahoma, 1912-1914; City attorney, Quincy, Illinois, 1915-1916; State's attorney, Adams County, Illinois, 1916-1920, 1924-1928; Private practice, Adams County, Illinois, 1920-1924; State senator, Illinois, 1928-1932; U.S. representative from Illinois, 1933-1937",
1377011,8,Adams,Arlin,Marvin, ,4,16,1921,Philadelphia,PA,12,22,2015,Philadelphia,PA,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the Third Circuit,Judge,Richard M. Nixon,Republican,,,Exceptionally Well Qualified,CA30208, ,,9/22/69,9/22/69,,Reported (favorably),10/1/69,Voice,  ,10/1/69,10/2/69,,,,,,Retirement,1/2/87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temple University,B.S.,1941,University of Pennsylvania Law School (now Carey Law School),LL.B.,1947,Temple University,M.A.,1950,,,,,,,"Private practice, Philadelphia, Pennsylvania, 1947-1969; Faculty, American Institute of Banking, 1949-1952; Faculty, University of Pennsylvania, 1952-1956; Secretary of public welfare, Commonwealth of Pennsylvania, 1963-1966; Board member, Federal Judicial Center, 1985-1987; Private practice, Philadelphia, Pennsylvania, 1987-",
1377016,9,Adams,Elmer,Bragg, ,10,27,1842,Pomfret,VT,10,24,1916,St. Louis,MO,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Missouri,Judge,Grover Cleveland,Democratic,,,,MOED0104, ,1895-05-17,1895-12-04,1895-12-04,,Reported (favorably),1895-12-09,Voice,  ,1895-12-09,1895-12-09,,,,,,Appointment to Another Judicial Position,5/29/05,U.S. Circuit Court (1869-1911),U.S. Circuit Courts for the Eighth Circuit,Judge,Theodore Roosevelt,Republican,,,,1869CC80302, ,5/20/05,12/5/05,12/6/05,,Reported (favorably),12/11/05,Voice,  ,12/12/05,12/12/05,,,,,,Abolition of Court,12/31/11,U.S. Court of Appeals,U.S. Court of Appeals for the Eighth Circuit,Judge,Theodore Roosevelt,Republican,,,,CA80302, ,5/20/05,12/5/05,12/6/05,,Reported (favorably),12/11/05,Voice,  ,12/12/05,12/12/05,,,,,,Death,10/24/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yale College,B.A.,1865,Harvard Law School,,1868,,,,,,,,,,"Teacher, American Union Commission, Georgia, 1865-1866; Private practice, St. Louis, Missouri, 1866-1879, 1884-1895; Judge, Circuit Court of Missouri, St. Louis Circuit, 1879-1884",
1377021,10,Adams,George, , ,8,1,1784,Lynchburg,VA,8,14,1844,Jackson,MS,Male,White,U.S. District Court,U.S. District Court for the District of Mississippi,Judge,Andrew Jackson,Democratic,,,,MSD0104, ,,1836-01-12,1836-01-13,,Reported (no recommendation recorded),1836-01-20,Voice,  ,1836-01-20,1836-01-20,,,,,,Reassignment,1838-06-18,U.S. District Court,U.S. District Court for the Northern District of Mississippi,Judge,None (reassignment),None (reassignment),,,,MSND0101,5 Stat. 247,,,,,,,,  ,,1838-06-18,,,,,,Resignation,1838-09-30,U.S. District Court,U.S. District Court for the Southern District of Mississippi,Judge,None (reassignment),None (reassignment),,,,MSSD0101,5 Stat. 247,,,,,,,,  ,,1838-06-18,,,,,,Resignation,1838-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law,,1810,,,,,,,,,,,,,"Private practice, Frankfort, Kentucky, 1810-1825; State representative, Kentucky, 1810-1811, 1814; Private practice, Natchez, Mississippi, 1825-1827, 1829-1830; Attorney general, State of Mississippi, 1828-1829; U.S. attorney for the District of Mississippi, 1830-1836; Private practice, Jackson, Mississippi, 1838-1844",
1377026,11,Adams,George,Bethune, ,4,3,1845,Philadelphia,PA,10,9,1911, , ,Male,White,U.S. District Court,U.S. District Court for the Southern District of New York,Judge,William McKinley,Republican,Theodore Roosevelt,Republican,,NYSD0106, ,8/30/01,12/5/01,12/5/01,,Reported (favorably),12/16/01,Voice,  ,12/17/01,12/17/01,,,,,,Death,10/9/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read law,,1878,,,,,,,,,,,,,"U.S. Army, 1861-1871; Merchant, 1871-1878; Private practice, 1883-",
1377031,12,Adams,Henry,Lee,Jr.,,,1945,Jacksonville,FL,,,, , ,Male,African American,U.S. District Court,U.S. District Court for the Middle District of Florida,Judge,William J. Clinton,Democratic,,,Qualified,FLMD0702, ,,10/29/93,11/1/93,11/16/93,Reported (favorably),11/18/93,Voice,  ,11/20/93,11/24/93,,,,,4/8/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florida A&M University,B.S.,1966,Howard University School of Law,J.D.,1969,,,,,,,,,,"Reginald Heber Smith Fellow, Duval County Legal Aid Association, Florida, 1969-1970; Assistant public defender, Fourth Judicial Circuit, Florida, 1970-1972; Private practice, Jacksonville, Florida, 1972-1979; Judge, Circuit Court of Florida, Fourth Judicial Circuit, 1979-1993",
1391781,2989,Adams,John,R., ,,,1955,Orrville,OH,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Northern District of Ohio,Judge,George W. Bush,Republican,,,Qualified,OHND1102, ,,1/7/03,1/7/03,1/29/03,Reported (favorably),2/6/03,Roll Call, 91/0,2/10/03,2/12/03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowling Green State University,B.S.,1978,University of Akron School of Law,J.D.,1983,,,,,,,,,,"Law clerk, Hon. W. F. Spicer, Summit County [Ohio] Court of Common Pleas, 1983-1984; Private practice, Ohio, 1984-1999; Assistant prosecutor, Summit County, Ohio, 1986-1989; Judge, Summit County [Ohio] Court of Common Pleas, 1999-2003","Nominated to U.S. District Court for the Northern District of Ohio, October 10, 2002; no Senate vote"
1393311,3295,Adamson,William,Charles, ,8,13,1854,Bowdon,GA,1,3,1929,New York,NY,Male,White,Other,U.S. Customs Court,Associate Justice,None (reassignment),None (reassignment),,,,CUST0601,44 Stat. 669,,,,,,,,  ,,5/28/26,,,,,,Retirement,1/20/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Member, Board of General Appraisers. Nominated by Woodrow Wilson on September 20, 1917, to a seat vacated by Henderson M. Somerville. Confirmed by the Senate on September 20, 1917, and commission issued on September 24, 1917. Service terminated on May 28, 1926, due to reassignment.",,,,"Bowdon College, Georgia",A.B.,1874,,,,,,,,,,,,,"Private practice, Carrollton, Georgia, 1876-1917, 1928-1929; Judge, Carrollton [Georgia] City Court, 1885-1889; City attorney, Carrollton, Georgia; U.S. representative from Georgia, 1897-1917",
1390426,2717,Adelman,Lynn,S., ,,,1939,Milwaukee,WI,,,, , ,Male,White,U.S. District Court,U.S. District Court for the Eastern District of Wisconsin,Judge,William J. Clinton,Democratic,,,Qualified,WIED0303, ,,9/8/97,9/8/97,10/29/97,Reported (favorably),11/6/97,Voice,  ,11/13/97,12/23/97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Princeton University,A.B.,1961,Columbia Law School,LL.B.,1965,,,,,,,,,,"Research assistant, Columbia University Law School, 1965-1966; Law clerk, attorney Richard H. Kuh, 1966; Trial attorney, Legal Aid Society of Wisconsin, 1967-1968; Private practice, Milwaukee, Wisconsin, 1968-; State senator, Wisconsin, 1977-1997",
1377036,13,Adkins,Jesse,Corcoran, ,4,13,1879,Knoxville,TN,3,29,1955,Washington,DC,Male,White,U.S. District Court,U.S. District Court for the District of Columbia (Supreme Court of the District of Columbia),Associate Justice,Herbert Hoover,Republican,,,,DCD0702, ,,6/6/30,6/6/30,,Reported (favorably),6/16/30,Voice,  ,6/17/30,6/17/30,,,,,10/15/46,Death,3/29/55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Georgetown College Law School (now Georgetown University Law Center),LL.B.,1899,Georgetown College Law School (now Georgetown University Law Center),LL.M.,1900,,,,,,,,,,"Assistant U.S. attorney, District of Columbia, 1905-1908; Special assistant to the Attorney General of the United States, 1908-1911, 1914-1916; Private practice, Washington, D.C., 1908-1911, 1916-1930; Assistant attorney general, U.S. Department of Justice, 1911-1914; Faculty, Georgetown University Law School, 1910-1945",
1377041,14,Adler,Simon,Louis, ,8,30,1867,Seneca Falls,NY,5,23,1934, , ,Male,White,U.S. District Court,U.S. District Court for the Western District of New York,Judge,Calvin Coolidge,Republican,,,,NYWD0201,44 Stat. 1370,5/19/27,12/6/27,12/9/27,,Reported (favorably),1/16/28,Voice,  ,1/16/28,1/16/28,,,,,,Death,5/23/34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cornell University,B.L.,1889,Harvard Law School,,1892,,,,,,,,,,"Private practice, Rochester, New York, 1892-; State assemblyman, New York, 1911-1926; majority leader, 1916-1926",
9374881,9374881,Aenlle-Rocha,Fernando,Lazaro,,,,1961,Havana,Cuba,,,,,,Male,Hispanic,U.S. District Court,U.S. District Court for the Central District of California,Judge,Donald J. Trump,Republican,,,Well Qualified,CACD2503,,,1/9/20,1/9/20,,Reported (favorably),3/5/20,Roll Call, 80/8,12/20/20,12/22/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Princeton University,A.B.,1983,"University of California, Berkeley, School of Law",J.D.,1986,,,,,,,,,,"Deputy district attorney, Los Angeles County, California, 1987-1990; Assistant U.S. attorney, Southern District of Florida, 1990-1994; Assistant U.S. attorney, Central District of California, 1994-1999; Private practice, Los Angeles, California, 1999-2017; Judge, Superior Court of California, County of Los Angeles, 2017-2020","Nominated to U.S. District Court for the Central District of California, October 17, 2019; no Senate vote"
13761681,13761681,Aframe,Seth,Robert,,,,1974,Boston,MA,,,,,,Male,White,U.S. Court of Appeals,U.S. Court of Appeals for the First Circuit,Judge,Joseph R. Biden,Democratic,,,Well Qualified,CA10210,,,1/8/24,1/8/24,,Reported (favorably),1/18/24,Roll Call, 49/40,5/20/24,5/23/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tufts University,B.A.,1996,Georgetown University Law Center,J.D.,1999,,,,,,,,,,"Law clerk, Hon. Judith A. Cowin, Supreme Judicial Court of Massachusetts, 1999-2000; Private practice, Boston, Massachusetts, 2000-2003; Law clerk, Hon. Jeffrey R. Howard, U.S. Court of Appeals for the First Circuit, 2003-2007; Instructor of legal research and writing, Boston University School of Law, 2006-2007; Assistant U.S. attorney, District of New Hampshire, 2007-2024; Civil Division, 2007-2010; Criminal Division, 2010-2024; appellate chief, 2010-2024; deputy chief, Criminal Division, 2022-2023; chief, Criminal Division, 2023-2024; Adjunct professor, University of New Hampshire Franklin Pierce School of Law, 2008-","Nominated to U.S. Court of Appeals for the First Circuit, October 4, 2023; no Senate vote"
