Full Name,Position ,Years of Service as a justice,Recess Appointment?,Year of Birth,Age When Appointed,Birth location,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's state judicial service,Nominee's federal judicial service (other than the U.S. Supreme Court),Nominee's Occupation at Time of Appointment, Home State of Nominee,Appointing President,Political Party Affiliation of President,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Jay, John",Chief Justice,1789-1795,,1745,43,New York,Episcopalian,White,Male,King's College (now Columbia University),King's College (now Columbia University),No Formal Law School Education/Read law,New York,No,New York,Justice on state's highest court in New York,,Secretary of Foreign Affairs,New York,George Washington,Federalist,Took another position,49,1829
"Rutledge, John",Associate Justice,1790-1791; 1795-1795,Only his appointment to Chief Justice in 1795 which was ultimately rejected by the Senate,1739,50,South Carolina,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,Read law and attended Middle Temple (England),South Carolina,No,England,State trial court judge in South Carolina,,State trial court judge,South Carolina,George Washington,Federalist,Took another position; Recess Appointment was rejected by the Senate,51,1800
"Cushing, William",Associate Justice,1790-1810,,1732,57,Massachusetts,Congregationalist,White,Male,Harvard University,N/A,No Formal Law School Education/Read law,Massachusetts,No,Massachusetts,State trial court judge and justice on state's highest court in Massachusetts,,State highest court justice,Massachusetts,George Washington,Federalist,Death,78,1810
"Harrison, Robert H.",Confirmed but did not serve,N/A,,1745,44,Maryland,Church Of England,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Unknown,No,"Maryland, Virginia",State trial court judge in Maryland,,State trial court judge,Maryland,George Washington,Federalist,N/A,N/A,1790
"Wilson, James",Associate Justice,1789-1798,,1742,47,Scotland,Episcopalian,White,Male,University of St. Andrew's; University of Glasgow; University of Edinburgh,N/A,No Formal Law School Education/Read law,Pennsylvania,No,Pennsylvania,N/A,,Solo practice,Pennsylvania,George Washington,Federalist,Death,55,1798
"Blair, John, Jr.",Associate Justice,1790-1796,,1732,57,Virginia,Episcopalian,White,Male,College of William And Mary,N/A,Middle Temple (England),N/A,No,Virginia,State trial court judge and justice on state's highest court in Virginia,,State highest court justice,Virginia,George Washington,Federalist,Declining health,64,1800
"Iredell, James",Associate Justice,1790-1799,,1751,38,England,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,North Carolina,No,North Carolina,State trial court judge in North Carolina,,Solo practice,North Carolina,George Washington,Federalist,Death,48,1799
"Johnson, Thomas",Associate Justice,1792-1793,Yes,1732,58,Maryland,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Maryland,No,Maryland,State trial court judge in Maryland,,State trial court judge,Maryland,George Washington,Federalist,Declining health,59,1819
"Paterson, William",Associate Justice,1793-1806,,1745,47,Ireland,Presbyterian,White,Male,College of New Jersey (now Princeton University),College of New Jersey (now Princeton University),No Formal Law School Education/Read law,New Jersey,No,New Jersey,N/A,,Governor of New Jersey,New Jersey,George Washington,Federalist,Death,60,1806
"Chase, Samuel",Associate Justice,1796-1811,,1741,54,Maryland,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Maryland,No,Maryland,State trial court judge in Maryland,,State trial court judge,Maryland,George Washington,Federalist,Death,70,1811
"Ellsworth, Oliver",Chief Justice,1796-1800,,1745,50,Connecticut,Congregationalist,White,Male,College of New Jersey (now Princeton University),N/A,No Formal Law School Education/Read law,Connecticut,No,Connecticut,State trial court judge in Connecticut,,U.S. Senator,Connecticut,George Washington,Federalist,Declining health,55,1807
"Washington, Bushrod",Associate Justice,1799-1829,Yes,1762,36,Virginia,Episcopalian,White,Male,College of William And Mary,N/A,No Formal Law School Education/Read law,Pennsylvania,No,Virginia,N/A,,Solo practice,Virginia,John Adams,Federalist,Death,37,1829
"Moore, Alfred",Associate Justice,1800-1804,Yes,1755,44,North Carolina,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,North Carolina,No,North Carolina,State trial court judge in North Carolina,,State trial court judge,North Carolina,John Adams,Federalist,Declining health,48,1810
"Marshall, John",Chief Justice,1801-1835,,1755,45,Virginia,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,College of William And Mary,Virginia,No,Virginia,N/A,,Secretary of State,Virginia,John Adams,Federalist,Death,79,1835
"Johnson, William",Associate Justice,1804-1834,,1771,32,South Carolina,Presbyterian,White,Male,College of New Jersey (now Princeton University),N/A,No Formal Law School Education/Read law,South Carolina,No,South Carolina,Justice on state's highest court in South Carolina,,State highest court justice,South Carolina,Thomas Jefferson,Democratic Republican,Death,62,1834
"Livingston, Henry Brockholst",Associate Justice,1807-1823,Yes,1757,48,New York,Presbyterian,White,Male,College of New Jersey (now Princeton University),N/A,No Formal Law School Education/Read law,New York,No,New York,Justice on state's highest court in New York,,State highest court justice,New York,Thomas Jefferson,Democratic Republican,Death,49,1823
"Todd, Thomas",Associate Justice,1807-1826,,1765,42,Virginia,Presbyterian,White,Male,Liberty Hall Academy (now Washington and Lee University),N/A,No Formal Law School Education/Read law,Virginia,No,Virginia,Justice on state's highest court in Kentucky,,State highest court justice,Kentucky,Thomas Jefferson,Democratic Republican,Death,61,1826
"Lincoln, Levi",Confirmed but did not serve,N/A,,1749,61,Massachusetts,Protestant,White,Male,Harvard University,N/A,No Formal Law School Education/Read law,Massachusetts,No,Massachusetts,State trial court judge in Massachusetts,,Governor's Council (Massachusetts),Massachusetts,James Madison,Democratic Republican,N/A,N/A,1820
"Wolcott, Alexander",Not confirmed by the Senate,N/A,,1758,52,Connecticut,Unknown,White,Male,Yale University,N/A,Unknown,Unknown,No,Unknown,State trial court judge in Connecticut,,Revenue collector ,Connecticut,James Madison,Democratic Republican,N/A,N/A,1828
"Adams, John Quincy",Confirmed but did not serve,N/A,,1767,43,Massachusetts,Unitarian,White,Male,Harvard University,N/A,No Formal Law School Education/Read law,Massachusetts,No,Massachusetts,N/A,,Minister to Russia,Massachusetts,James Madison,Democratic Republican,N/A,N/A,1848
"Duvall, Gabriel",Associate Justice,1811-1835,,1752,58,Maryland,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Maryland,No,Maryland,State trial court judge in Maryland,,Controller of the Treasury,Maryland,James Madison,Democratic Republican,Advanced age,82,1844
"Story, Joseph",Associate Justice,1812-1845,,1779,32,Massachusetts,Unitarian,White,Male,Harvard University,N/A,No Formal Law School Education/Read law,Massachusetts,No,Massachusetts,N/A,,Member of the Massachusetts legislature,Massachusetts,James Madison,Democratic Republican,Death,65,1845
"Thompson, Smith",Associate Justice,1823-1843,Yes,1768,55,New York,Presbyterian,White,Male,College of New Jersey (now Princeton University),N/A,No Formal Law School Education/Read law,New York,No,New York,Justice on state's highest court in New York,,Secretary of the Navy,New York,James Monroe,Democratic Republican,Death,56,1843
