Full Name,Position ,Years of Service as a justice,Recess Appointment?,Appointing President,Political Party Affiliation of President,Year of Birth,Age When Appointed,Birth location, Home State of Nominee,Religion,Race/Ethnicity,Gender,Undergraduate Institution,Graduate Institution,Law School,State Where Nominee Read the Law,Supreme Court clerkship,State(s) in which Nominee was Admitted to the Bar,Nominee's Occupation at Time of Appointment,Served as a state trial judge,Served as a state appellate judge,Served as a justice on the state's highest court,Served as a federal district court judge,Served as a federal appellate judge,Served as an Assistant U.S. Attorney?,Served as a U.S. Attorney?,Served in the Office of the U.S. Solicitor General (but not as SG)?,Served as the U.S. Solicitor General?,Served in the Office of the U.S. Attorney General (but not as AG)?,Served as the U.S. Attorney General?,Served in a U.S. Cabinet (below Secretary level)?,Served at the Secretary level in a U.S. Cabinet?,"Served in a Executive Commission, Agency, or White House Post (at a level below Head)?",Served as Head of an Executive Commission or Agency?,Served as U.S. President,Served in the U.S. House of Representatives,Served in the U.S. Senate,Served as Lt. Governor,Served as Governor,Served as Mayor, Served in a State Senate, Served in a State House, Served on a City Council,Served as a Public Defender,Justice's Reason for Departure from the Court,Justice's Age at Time of Departure from the Court,Year of Death
"Jay, John",Chief Justice,1789-1795,,George Washington,Federalist,1745,43,New York,New York,Episcopalian,White,Male,King's College (now Columbia University),King's College (now Columbia University),No Formal Law School Education/Read law,New York,No,New York,Secretary of Foreign Affairs,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Took another position,49,1829
"Rutledge, John",Associate Justice,1790-1791; 1795-1795,Only his appointment to Chief Justice in 1795 which was ultimately rejected by the Senate,George Washington,Federalist,1739,50,South Carolina,South Carolina,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,Read law and attended Middle Temple (England),South Carolina,No,England,State trial court judge,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Took another position; Recess Appointment was rejected by the Senate,51,1800
"Cushing, William",Associate Justice,1790-1810,,George Washington,Federalist,1732,57,Massachusetts,Massachusetts,Congregationalist,White,Male,Harvard University,N/A,No Formal Law School Education/Read law,Massachusetts,No,Massachusetts,State highest court justice,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,78,1810
"Harrison, Robert H.",Confirmed but did not serve,N/A,,George Washington,Federalist,1745,44,Maryland,Maryland,Church Of England,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Unknown,No,"Maryland, Virginia",State trial court judge,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,N/A,1790
"Wilson, James",Associate Justice,1789-1798,,George Washington,Federalist,1742,47,Scotland,Pennsylvania,Episcopalian,White,Male,University of St. Andrew's; University of Glasgow; University of Edinburgh,N/A,No Formal Law School Education/Read law,Pennsylvania,No,Pennsylvania,Solo practice,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Death,55,1798
"Blair, John, Jr.",Associate Justice,1790-1796,,George Washington,Federalist,1732,57,Virginia,Virginia,Episcopalian,White,Male,College of William And Mary,N/A,Middle Temple (England),N/A,No,Virginia,State highest court justice,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Declining health,64,1800
"Iredell, James",Associate Justice,1790-1799,,George Washington,Federalist,1751,38,England,North Carolina,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,North Carolina,No,North Carolina,Solo practice,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Death,48,1799
"Johnson, Thomas",Associate Justice,1792-1793,Yes,George Washington,Federalist,1732,58,Maryland,Maryland,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Maryland,No,Maryland,State trial court judge,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Declining health,59,1819
"Paterson, William",Associate Justice,1793-1806,,George Washington,Federalist,1745,47,Ireland,New Jersey,Presbyterian,White,Male,College of New Jersey (now Princeton University),College of New Jersey (now Princeton University),No Formal Law School Education/Read law,New Jersey,No,New Jersey,Governor of New Jersey,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Death,60,1806
"Chase, Samuel",Associate Justice,1796-1811,,George Washington,Federalist,1741,54,Maryland,Maryland,Episcopalian,White,Male,Unknown or No Undergraduate Education,N/A,No Formal Law School Education/Read law,Maryland,No,Maryland,State trial court judge,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Death,70,1811
