Justice Full Name,Last Name,First Name,Nominated Date,Vote Count ,Yea Votes,No Votes,Vote Year
"Jackson, Ketanji Brown",Jackson,Kentaji Brown,"Feb 28, 2022",53-47 No. 134,53,47,2022
"Barrett, Amy Coney",Barrett,Amy Coney,"Sep 29, 2020",52-48 No. 224,52,48,2020
"Kavanaugh, Brett",Kavanaugh,Brett,"Jul 10, 2018",50-48 No. 223,50,48,2018
"Gorsuch, Neil M.",Gorsuch,Neil M. ,"Feb 1, 2017",54-45 No. 111,54,45,2017
"Kagan, Elena",Kagan,Elena,"May 10, 2010",63-37 No. 229,63,37,2010
"Sotomayor, Sonia",Sotomayor,Sonia,"Jun 1, 2009",68-31 No. 262,68,31,2009
"Alito, Samuel A., Jr.",Alito,Samuel A.,"Nov 10, 2005",58-42 No. 2,58,42,2006
"Roberts, John G., Jr.",Roberts,John G. ,"Sep 6, 2005",78-22 No. 245,78,22,2005
"Breyer, Stephen G.",Breyer,Stephen G.,"May 17, 1994",87-9 No. 242,87,9,1994
"Ginsburg, Ruth Bader",Ginsburg,Ruth Bader,"Jun 22, 1993",96-3 No. 232,96,3,1993
"Thomas, Clarence",Thomas,Clarence,"Jul 8, 1991",52-48 No. 220,52,48,1991
"Souter, David H.",Souter,David H.,"Jul 25, 1990",90-9 No. 259,90,9,1990
"Kennedy, Anthony M.",Kennedy,Anthony M.,"Nov 30, 1987",97-0 No. 16,97,0,1988
"Scalia, Antonin",Scalia,Antonin,"Jun 24, 1986",98-0 No. 267,98,0,1986
"Rehnquist, William H",Rehnquist,William H.,"Jun 20, 1986",65-33 No. 266,65,33,1986
"O'Connor, Sandra Day",O'Connor,Sandra Day,"Aug 19, 1981",99-0 No. 274,99,0,1981
"Stevens, John Paul",Stevens,John Paul,"Nov 28, 1975",98-0 No. 603,98,0,1975
"Rehnquist, William H.",Rehnquist,William H.,"Oct 22, 1971",68-26 No. 450,68,26,1971
"Powell, Lewis F., Jr.",Powell,Lewis F.,"Oct 22, 1971",89-1 No. 439,89,1,1971
"Blackmun, Harry",Blackmun,Harry,"Apr 15, 1970",94-0 No. 143,94,0,1970
"Burger, Warren",Burger,Warren,"May 23, 1969",74-3 No. 35,74,3,1969
"Marshall, Thurgood",Marshall,Thurgood,"Jun 13, 1967",69-11 No. 240,69,11,1967
